highlight,title,author,note,location
"my partly unintentional 181/182 ordeal has had such a good outcome, I’m already completely satisfied.” Salome to Elijah: “Leave him, he is a strange man. Heaven knows what his motives are, but he seems to be serious. I’m not ugly and surely I’m generally desirable.”",The Red Book: A Reader's Edition: A Reader's Edition (Philemon),C. G. Jung,"uploaded,uploaded",8183.0
"I: “I know that it would be the greatest torment for me to let you go away. But if you can do this for me, I can also do it for you. I would go on without lament, since I have not forgotten the dream where I saw my body lying on sharp needles and a bronze wheel rolling over my breast, crushing it. I must think of this dream whenever I think of love. If it must be, I am ready.” Sal: “I don’t want such a sacrifice. I want to bring you joy. Can I not be joy to you?” I: “I don’t know, perhaps, 183/184",The Red Book: A Reader's Edition: A Reader's Edition (Philemon),C. G. Jung,"uploaded,uploaded,uploaded",8203.0
"I: “The attempt is the same as the act. Such attempts are costly.” Sal: “Won’t you bear the cost for my sake?” I: “I’m rather too weak, too exhausted after what I have suffered because of you, still to be able to undertake further tasks for you. I would be overwhelmed.” Sal: “If you don’t want to accept me, then surely I cannot accept you?” I: “It’s not a matter of acceptance; if it’s about anything in particular, it’s about giving.” Sal: “But I do give myself to you. Just accept me.” I: “As if that would settle the matter! But being entangled with love! Simply thinking about it is dreadful.” Sal: “So you really demand that I be and not be at the same time. That is impossible. What’s wrong with you?” I: “I lack the strength to hoist another fate onto my shoulders. I have enough to carry.” Sal: “But what if I help you bear this load?” I: “How can you? You’d have to carry me, an untamed burden. Shouldn’t I have to carry it myself?” E: “You speak the truth. May each one carry his load. He who wants to burden others with his baggage is their slave.325 It is not too difficult for anyone to lug themselves.” Sal:",The Red Book: A Reader's Edition: A Reader's Edition (Philemon),C. G. Jung,"uploaded,uploaded,uploaded",8210.0
"I: “I’m not sending you away. You must not be far from me. But give to me out of your fullness, not your longing. I cannot satisfy your poverty just as you cannot still my longing. If your harvest is rich, send me some fruit from your garden. If you suffer from abundance, I will drink from the brimming horn of your joy. I know that that will be a balm for me. I can satisfy myself only at the table of the satisfied, not at the empty bowls of those who yearn. I will not steal my payment. You possess nothing, so how can you give? Insofar as you give, you demand. Elijah, old man, listen: you have a strange gratitude. Do not give away your daughter, but set her 185/186 on her own feet. She would like to",The Red Book: A Reader's Edition: A Reader's Edition (Philemon),C. G. Jung,"uploaded,uploaded,uploaded",8232.0
"long for the joy of men, for their fullness and freedom and not their neediness.” Sal: “What a hard and incomprehensible man you are.”",The Red Book: A Reader's Edition: A Reader's Edition (Philemon),C. G. Jung,"uploaded,uploaded,uploaded",8240.0
"{1} I resist, I cannot accept this hollow nothing that I am. What am I? What is my I? I always presuppose my I. Now it stands before me—I before my I. I speak now to you, my I: 1We are alone and our being together threatens to become unbearably boring. We must do something, devise a pastime; for example, I could educate you. Let us begin with your main flaw, which strikes me first: you have no correct self-esteem. Have you no good qualities that you can be proud of? You believe that being capable is an art. But one can also learn such skills to some extent. Please, do so. You find it difficult—well, all beginnings are difficult.2 Soon you will be able to do it better. Do you doubt this? That is of no use; you must be able to do it, or else I cannot live with you. Ever since the God has arisen and spreads himself in whichever fiery heavens, to do whatever he does, what exactly I do not know, we have depended upon one another. Therefore you must think about improving, or else our life together will become wretched. So pull yourself together and value yourself! Don’t you want to? Pitiful creature! I will torment you a bit if you do not make an effort.",The Red Book: A Reader's Edition: A Reader's Edition (Philemon),C. G. Jung,"uploaded,uploaded,uploaded",9975.0
"you are laughably sensitive, self-righteous, unruly, mistrustful, pessimistic, cowardly, dishonest with yourself, venomous, vengeful; one can hardly speak about your childish pride, your craving for power, your desire for esteem, your laughable ambition, your thirst for fame without feeling sick. The playacting and pomposity become you badly and you abuse them to the best of your ability.",The Red Book: A Reader's Edition: A Reader's Edition (Philemon),C. G. Jung,"uploaded,uploaded,uploaded",9995.0
"For I want to get along with you—I must—damn you—you are my I, which I must carry around with me to the grave. Do you think that I want to have such foolishness around me all my life? If you were not my I, I would have torn you to pieces long ago. But I am damned to haul you through a purgatory so that you too will become somewhat",The Red Book: A Reader's Edition: A Reader's Edition (Philemon),C. G. Jung,"uploaded,uploaded,uploaded",10011.0
"You wanted to be superior! How laughable. You were, and are, inferior. Who are you, then? Scum that disgusts me. Are you perhaps somewhat powerless? I place you in a corner where you can remain lying until you come to your senses again.",The Red Book: A Reader's Edition: A Reader's Edition (Philemon),C. G. Jung,"uploaded,uploaded,uploaded",10023.0
"You preach hypocritical composure. But when it really matters, are you calm? No, you lie. You consume yourself in rage and your tongue speaks cold daggers and you dream of revenge. You are gloating and resentful. You begrudge the other the sunshine, since you would like to assign it to those whom you favor because they favor you. You are envious of all well-being around you and you impertinently assert the opposite. Inside yourself you think unsparingly and coarsely only what always suits you, and with this you feel yourself above humanity and not in the least responsible. But you are responsible to humanity in everything that you think, feel, and do. Do not pretend there is a difference between thinking and doing. You rely only on your undeserved advantage, not to be compelled to say or do what you think and feel.",The Red Book: A Reader's Edition: A Reader's Edition (Philemon),C. G. Jung,"uploaded,uploaded,uploaded",10035.0
"7If I tame you, beast, I give others the opportunity to tame their beasts. The taming begins with you, my I, nowhere else. Not that you, stupid brother I, had been particularly wild. There are some who are wilder. But I must whip you until you endure the wildness of the others. Then I can live with you. If someone does you wrong, I will torment you to death, until you have forgiven the wrong suffered, yet not just by paying lip service, but also in your heavy heart with its heinous sensitivity. Your sensitivity is your particular form of violence. Therefore listen, brother in my solitude, I have prepared every",The Red Book: A Reader's Edition: A Reader's Edition (Philemon),C. G. Jung,"uploaded,uploaded,uploaded",10059.0
"Should you still be sensitive? I notice that you are forging secret plans for revenge, plotting deceitful tricks. But you are an idiot, you cannot take revenge on fate. Childish one, you probably even want to lash the sea. Build better bridges instead; that is a better way to squander your wit. You want to be understood? That’s all we needed! Understand yourself, and you will be sufficiently understood. You will have quite enough work in hand with that. Mothers’ little dears want to be understood. Understand yourself, that is the best protection against sensitivity and satisfies your childish longing to be understood. I suppose you want to turn others into slaves of your desirousness again? But you know that I must live with you and that I will no longer tolerate such abject plaintiveness.8",The Red Book: A Reader's Edition: A Reader's Edition (Philemon),C. G. Jung,"uploaded,uploaded,uploaded",10067.0
"“Is that you my soul, from which height and distance do you speak?” S: “I am above you. I am a world apart. I have become sunlike. I received the seeds of fire. Where are you? I can hardly find you in your mists.” I: “I am down on the murky earth, in the dark smoke that the fire left us, and my gaze does not reach you. But your voice sounds closer.” S: “I feel it. The",The Red Book: A Reader's Edition: A Reader's Edition (Philemon),C. G. Jung,"uploaded,uploaded,uploaded",10079.0
"She answered: “Do not be angry, do not complain. Let the bloody victims fall at your side. It is not your severity, it is not your cruelty, but necessity. The way of life is sown with fallen ones.”",The Red Book: A Reader's Edition: A Reader's Edition (Philemon),C. G. Jung,"uploaded,uploaded,uploaded",10104.0
“What is this? Their souls have accomplished as much as they could. Then they encountered fate. It will also happen to us. Your compassion is sick.” But my soul called from afar: “Leave him,The Red Book: A Reader's Edition: A Reader's Edition (Philemon),C. G. Jung,"uploaded,uploaded,uploaded",10112.0
"“If I heed my human feeling about this, doubt could come over me.” S: “What have you noticed? Why should what you see always be untrue? It is your particular wrong that you cannot stop making a fool of yourself. Can you not remain on your way for once?” I: “You know that I doubt, because of my love for men.” S: “No, for the sake of your weakness, for the sake of your doubt and disbelief. Stay on your way and do not run away from yourself. There is a divine and a human intention. They cross each other in stupid and godforsaken people, to whom you also belong from time to time.” Since what",The Red Book: A Reader's Edition: A Reader's Edition (Philemon),C. G. Jung,"uploaded,uploaded,uploaded",10122.0
